2023-09-09 22:42:08,648 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Configure stats pid to 1281081
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Loading settings from /home/gyoon814/.config/wandb/settings
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Loading settings from /home/gyoon814/DepthSFL/research/DSFL/wandb/settings
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-09 22:42:08,649 INFO    MainThread:1281081 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'research/DSFL/main.py', 'program': '/home/gyoon814/DepthSFL/research/DSFL/main.py'}
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:_log_setup():524] Logging user logs to ./output/[DFSL][cifar10][resnet18][123]20230909-224207/wandb/run-20230909_224208-kbhv5lz2/logs/debug.log
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:_log_setup():525] Logging internal logs to ./output/[DFSL][cifar10][resnet18][123]20230909-224207/wandb/run-20230909_224208-kbhv5lz2/logs/debug-internal.log
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:init():564] calling init triggers
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:init():614] starting backend
2023-09-09 22:42:08,650 INFO    MainThread:1281081 [wandb_init.py:init():618] setting up manager
2023-09-09 22:42:08,653 INFO    MainThread:1281081 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-09 22:42:08,654 INFO    MainThread:1281081 [wandb_init.py:init():624] backend started and connected
2023-09-09 22:42:08,659 INFO    MainThread:1281081 [wandb_init.py:init():715] updated telemetry
2023-09-09 22:42:08,680 INFO    MainThread:1281081 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-09 22:42:09,255 INFO    MainThread:1281081 [wandb_run.py:_on_init():2220] communicating current version
2023-09-09 22:42:09,316 INFO    MainThread:1281081 [wandb_run.py:_on_init():2229] got version response 
2023-09-09 22:42:09,316 INFO    MainThread:1281081 [wandb_init.py:init():799] starting run threads in backend
2023-09-09 22:42:10,783 INFO    MainThread:1281081 [wandb_run.py:_console_start():2199] atexit reg
2023-09-09 22:42:10,783 INFO    MainThread:1281081 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-09 22:42:10,783 INFO    MainThread:1281081 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-09 22:42:10,783 INFO    MainThread:1281081 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-09 22:42:10,785 INFO    MainThread:1281081 [wandb_init.py:init():840] run started, returning control to user process
2023-09-09 22:42:10,786 INFO    MainThread:1281081 [wandb_run.py:_config_callback():1324] config_cb None None {'num_users': 50, 'noniid': False, 'class_per_each_client': 10, 'frac': 0.1, 'bs': 64, 'local_bs': 64, 'momentum': 0, 'epochs': 10, 'local_ep': 5, 'num_classes': 10, 'lr': 0.1, 'weight_decay': 0, 'mode': 'normal', 'model_name': 'resnet18', 'data': 'cifar10', 'device_id': '1', 'learnable_step': True, 'run_name': 'vanilla', 'ps': 1.0, 'cut_point': [1, 2, 3], 'seed': 123, 'method': 'dsfl', 'T': 4, 'lambdaa': 0.1, 'kd_epoch': 50, 'kd_self_opt': False, 'kd_server_opt': False, 'wandb': True, 'device': 'cuda:1', 'name': '[DFSL][cifar10][resnet18][123]20230909-224207'}
2023-09-09 22:46:20,004 WARNING MsgRouterThr:1281081 [router.py:message_loop():77] message_loop has been closed
